ID,Nom,Statut,Latitude,Longitude,Annee_implante
300020679,REV Bellechasse/Av Christophe Colomb,Actif,45.536,-73.5988,2021
300020817,REV St Denis/Castelnau NB,Actif,45.53905,-73.61687,2021
300020816,REV St Denis/Castelnau SB,Actif,45.53905,-73.61686,2021
300028650,Villeray,Actif,45.54704806,-73.61838698,2022
300032161,Maisonneuve / Papineau,Actif,45.5238423,-73.5532284,2023
300041663,Rue Verdun côté Sud,Actif,45.459972,-73.57158,2024
300041662,Rue Verdun côté Nord,Actif,45.46005,-73.571495,2024
300041457,de la Commune/King,Actif,45.49823459,-73.55262219,2024
300046833,Avenue des Pins EDC+,Actif,45.51414668,-73.57599314,2025
100060992,Avenue Lansdowne,Actif,45.48602,-73.60578,2017
100060991,Avenue Westmount,Actif,45.48602,-73.60578,2017
300046832,Berri/de la Gauchetière,Actif,45.51291633,-73.55612755,2024
100061090,Côte Saint-Antoine,Actif,45.48395674,-73.6030372,2017
300017640,Eco-Display - Maisonneuve and Greene,Actif,45.48689914,-73.58942408,2021
300020478,Eco-Display - Maisonneuve and Greene,Actif,45.48689914,-73.58942408,2021
300059546,Henri Bourassa / St Denis - Nord,Actif,45.55344808,-73.66933107,2025
300064654,Henri-Bourassa / Loblaws,Actif,45.5421698,-73.6758562,2026
300061935,Henri-Bourassa / Tanguay,Actif,45.5444368,-73.67465518,2025
100063064,Lien cyclable ,Actif,45.496,-73.51984,2017
300034853,Ontario & Savoie,Actif,45.5163216,-73.5651776,2023
100063065,Piste Pont des îles,Actif,45.50828506,-73.5289807,2019
100061409,Rachel / Angus,Actif,45.54327681,-73.56190718,2008
100011747,Saint-Antoine / St-Urbain,Actif,45.50625,-73.557785,2013
